_id,WeekEnding,AgeGroup,PatientsTested,PatientsPositive,PatientsNegative,PercentPositive,Rate
1,20200202,Age 20-21,2,0,2,0,0
2,20200209,Age 12-15,1,0,1,0,0
3,20200209,Age 20-21,1,0,1,0,0
4,20200216,Age 0-1,4,0,4,0,0
5,20200216,Age 18-19,3,0,3,0,0
6,20200216,Age 2-4,2,0,2,0,0
7,20200216,Age 20-21,4,0,4,0,0
8,20200216,Age 5-11,3,0,3,0,0
9,20200223,Age 0-1,2,0,2,0,0
10,20200223,Age 12-15,3,0,3,0,0
11,20200223,Age 2-4,6,0,6,0,0
12,20200223,Age 5-11,2,0,2,0,0
13,20200301,Age 0-1,29,0,29,0,0
14,20200301,Age 12-15,20,0,20,0,0
15,20200301,Age 16-17,5,0,5,0,0
16,20200301,Age 18-19,6,0,6,0,0
17,20200301,Age 2-4,19,0,19,0,0
18,20200301,Age 20-21,11,0,11,0,0
19,20200301,Age 5-11,29,0,29,0,0
20,20200308,Age 0-1,130,0,130,0,0
21,20200308,Age 12-15,18,0,18,0,0
22,20200308,Age 16-17,12,0,12,0,0
23,20200308,Age 18-19,17,0,17,0,0
24,20200308,Age 2-4,64,0,64,0,0
25,20200308,Age 20-21,15,1,14,0.06666666666666667,0.8
26,20200308,Age 5-11,57,0,57,0,0
27,20200315,Age 0-1,156,0,156,0,0
28,20200315,Age 12-15,46,1,45,0.021739130434782608,0.4
29,20200315,Age 16-17,19,2,17,0.10526315789473684,1.8
30,20200315,Age 18-19,25,4,21,0.16,3.5
31,20200315,Age 2-4,103,0,103,0,0
32,20200315,Age 20-21,39,4,35,0.10256410256410256,3.1
33,20200315,Age 5-11,86,0,86,0,0
34,20200322,Age 0-1,179,1,178,0.00558659217877095,1
35,20200322,Age 12-15,53,0,53,0,0
36,20200322,Age 16-17,17,2,15,0.11764705882352941,1.8
37,20200322,Age 18-19,27,2,25,0.07407407407407407,1.7
38,20200322,Age 2-4,133,1,132,0.007518796992481203,0.6
39,20200322,Age 20-21,22,2,20,0.09090909090909091,1.5
40,20200322,Age 5-11,155,0,155,0,0
41,20200329,Age 0-1,195,5,190,0.02564102564102564,5
42,20200329,Age 12-15,69,3,66,0.043478260869565216,1.3
43,20200329,Age 16-17,32,4,28,0.125,3.6
44,20200329,Age 18-19,33,3,30,0.09090909090909091,2.6
45,20200329,Age 2-4,203,4,199,0.019704433497536946,2.4
46,20200329,Age 20-21,35,8,27,0.22857142857142856,6.1
47,20200329,Age 5-11,198,6,192,0.030303030303030304,1.4
48,20200405,Age 0-1,175,7,168,0.04,7
49,20200405,Age 12-15,69,3,66,0.043478260869565216,1.3
50,20200405,Age 16-17,44,3,41,0.06818181818181818,2.7
51,20200405,Age 18-19,54,11,43,0.2037037037037037,9.6
52,20200405,Age 2-4,140,4,136,0.02857142857142857,2.4
53,20200405,Age 20-21,53,11,42,0.20754716981132076,8.5
54,20200405,Age 5-11,192,11,181,0.057291666666666664,2.6
55,20200412,Age 0-1,108,0,108,0,0
56,20200412,Age 12-15,49,4,45,0.08163265306122448,1.7
57,20200412,Age 16-17,20,2,18,0.1,1.8
58,20200412,Age 18-19,43,8,35,0.18604651162790697,7
59,20200412,Age 2-4,90,3,87,0.03333333333333333,1.8
60,20200412,Age 20-21,48,15,33,0.3125,11.5
61,20200412,Age 5-11,117,6,111,0.05128205128205128,1.4
62,20200419,Age 0-1,124,5,119,0.04032258064516129,5
63,20200419,Age 12-15,45,5,40,0.1111111111111111,2.1
64,20200419,Age 16-17,41,6,35,0.14634146341463414,5.4
65,20200419,Age 18-19,49,9,40,0.1836734693877551,7.8
66,20200419,Age 2-4,108,2,106,0.018518518518518517,1.2
67,20200419,Age 20-21,73,19,54,0.2602739726027397,14.6
68,20200419,Age 5-11,133,3,130,0.022556390977443608,0.7
69,20200426,Age 0-1,138,1,137,0.007246376811594203,1
70,20200426,Age 12-15,56,6,50,0.10714285714285714,2.6
71,20200426,Age 16-17,36,2,34,0.05555555555555555,1.8
72,20200426,Age 18-19,65,10,55,0.15384615384615385,8.7
73,20200426,Age 2-4,102,2,100,0.0196078431372549,1.2
74,20200426,Age 20-21,103,20,83,0.1941747572815534,15.4
75,20200426,Age 5-11,118,2,116,0.01694915254237288,0.5
76,20200503,Age 0-1,154,0,154,0,0
